Heating System,Finchbcd,CentralHeatingID,ecukID,spaceheatingsystemtype,mainheatingfuel,fluetype,basicefficiency,winterefficiency,summerefficiency,FuelOption1,FuelOption2,iscondensing,storageheatertype
GAS_FAN_ASSISTED_ELECTRIC_IGNITION_LOW_THERMAL_CAPACITY,101,1,Gas,standard,mains_gas,fanassistedbalancedflue,84,84,84,bottled_lpg,bulk_lpg,FALSE,
GAS_FAN_ASSISTED_ELECTRIC_IGNITION_HIGH_THERMAL_CAPACITY,102,1,Gas,standard,mains_gas,fanassistedbalancedflue,84,84,84,bottled_lpg,bulk_lpg,FALSE,
GAS_FAN_ASSISTED_PERM_PILOT_LIGHT_OR_UNKNOWN_LOW_THERMAL_CAP,103,1,Gas,standard,mains_gas,fanassistedbalancedflue,80,80,80,bottled_lpg,bulk_lpg,FALSE,
GAS_FAN_ASSISTED_PERM_PILOT_LIGHT_OR_UNKNOWN_HIGH_THERMAL_CAP,104,1,Gas,standard,mains_gas,fanassistedbalancedflue,80,80,80,bottled_lpg,bulk_lpg,FALSE,
GAS_WALL_MOUNTED_OPEN_OR_balancedflue,105,1,Gas,standard,mains_gas,balancedflue,66,66,66,bottled_lpg,bulk_lpg,FALSE,
GAS_FLOOR_MOUNTED_OR_BACK_BOILER_OPEN_OR_balancedflue,106,1,Gas,back_boiler,mains_gas,balancedflue,66,66,66,bottled_lpg,bulk_lpg,FALSE,
GAS_UNKNOWN_OPEN_OR_balancedflue,107,1,Gas,standard,mains_gas,balancedflue,66,66,66,bottled_lpg,bulk_lpg,FALSE,
GAS_UNKNOWN_FLUE_TYPE,108,1,Gas,standard,mains_gas,balancedflue,75,75,75,bottled_lpg,bulk_lpg,FALSE,
OIL,109,1,OIL,standard,oil,balancedflue,71,71,71,,,FALSE,
SOLID_MANUAL_FEED_IN_HEATED_SPACE,110,1,Solid fuel,standard,house_coal,balancedflue,65,65,65,,,FALSE,
SOLID_MANUAL_FEED_IN_UNHEATED_SPACE,111,1,Solid fuel,standard,house_coal,balancedflue,60,60,60,,,FALSE,
SOLID_MANUAL_FEED_UNKNOWN,112,1,Solid fuel,standard,house_coal,balancedflue,60,60,60,,,FALSE,
SOLID_AUTO_FEED_IN_HEATED_SPACE,113,1,Solid fuel,standard,house_coal,balancedflue,70,70,70,,,FALSE,
SOLID_AUTO_FEED_IN_UNHEATED_SPACE,114,1,Solid fuel,standard,house_coal,balancedflue,65,65,65,,,FALSE,
SOLID_AUTO_FEED_UNKNOWN,115,1,Solid fuel,standard,house_coal,balancedflue,65,65,65,,,FALSE,
SOLID_BACK_BOILER_OPEN_FIRE,116,1,Solid fuel,back_boiler,house_coal,balancedflue,63,63,63,,,FALSE,
SOLID_BACK_BOILER_CLOSED_FIRE,117,1,Solid fuel,back_boiler,house_coal,balancedflue,67,67,67,,,FALSE,
SOLID_BACK_BOILER_UNKNOWN,118,1,Solid fuel,back_boiler,house_coal,balancedflue,67,67,67,,,FALSE,
SOLID_UNKNOWN,119,1,Solid fuel,standard,house_coal,balancedflue,65,65,65,,,FALSE,
ELECTRIC_IN_HEATED_SPACE,120,1,Electric other,standard,electricity,balancedflue,100,100,100,,,FALSE,
ELECTRIC_IN_UNHEATED_SPACE,121,1,Electric other,standard,electricity,balancedflue,85,85,85,,,FALSE,
ELECTRIC_UNKNOWN,122,1,Electric other,standard,electricity,balancedflue,85,85,85,,,FALSE,
HEAT_PUMP_GROUND_SOURCE,123,1,Electric other,ground_source_heat_pump,electricity,balancedflue,320,320,320,,,FALSE,
HEAT_PUMP_WATER_SOURCE,124,1,Electric other,null,electricity,balancedflue,300,300,300,,,FALSE,
HEAT_PUMP_AIR_SOURCE,125,1,Electric other,air_source_heat_pump,electricity,balancedflue,250,250,250,,,FALSE,
UNKNOWN,129,1,Other,standard,mains_gas,balancedflue,75,75,75,electricity,,FALSE,
ELECTRIC_STORAGE_OLD_LARGE_VOLUME,201,1,Electric storage,storage_heater,electricity,balancedflue,100,100,100,,,FALSE,
ELECTRIC_STORAGE_MODERN_SLIMLINE_CONVECTOR,202,1,Electric storage,storage_heater,electricity,balancedflue,100,100,100,,,FALSE,
ELECTRIC_STORAGE_MODERN_SLIMLINE_WITH_FAN,203,1,Electric storage,storage_heater,electricity,fanassistedbalancedflue,100,100,100,,,FALSE,
ELECTRIC_STORAGE_HEATER_UNKNOWN,204,1,Electric storage,storage_heater,electricity,balancedflue,100,100,100,,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_FAN_DUCTED,301,0,Gas,warm_air,mains_gas,fanassistedbalancedflue,70,70,70,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_FAN_ROOM_HEATER,302,0,Gas,warm_air,mains_gas,fanassistedbalancedflue,69,69,69,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_FAN_UNKNOWN,303,0,Gas,warm_air,mains_gas,fanassistedbalancedflue,70,70,70,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_DUCTED_ON_OFF_CONTROL,304,0,Gas,warm_air,mains_gas,balancedflue,70,70,70,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_DUCTED_MODULAR_CONTROL,305,0,Gas,warm_air,mains_gas,balancedflue,72,72,72,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_DUCTED_HEAT_RECOVERY,306,0,Gas,warm_air,mains_gas,balancedflue,85,85,85,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_DUCTED_UNKNOWN,307,0,Gas,warm_air,mains_gas,balancedflue,76,76,76,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_STUB_DUCT_NO_FLUE_RECOV,308,0,Gas,warm_air,mains_gas,balancedflue,74,74,74,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_STUB_DUCT_FLUE_RECOVERY,309,0,Gas,warm_air,mains_gas,balancedflue,85,85,85,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_STUB_DUCTED_UNKNOWN,310,0,Gas,warm_air,mains_gas,balancedflue,80,80,80,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_CONDENSING,311,0,Gas,warm_air,mains_gas,balancedflue,81,81,81,oil,,FALSE,
WARM_AIR_GAS_OR_OIL_WITH_BALANCED_OR_openflue_UNKNOWN,312,0,Gas,warm_air,mains_gas,balancedflue,78,78,78,oil,,FALSE,
WARM_AIR_ELECTRICAIRE,313,1,Electric other,warm_air,electricity,balancedflue,100,100,100,,,FALSE,
WARM_AIR_GROUND_SOURCE_HEAT_PUMP,314,1,Electric other,ground_source_heat_pump,electricity,fanassistedbalancedflue,320,320,320,,,FALSE,
WARM_AIR_WATER_SOURCE_HEAT_PUMP,315,1,Electric other,null,electricity,fanassistedbalancedflue,300,300,300,,,FALSE,
WARM_AIR_AIR_SOURCE_HEAT_PUMP,316,1,Electric other,air_source_heat_pump,electricity,fanassistedbalancedflue,250,250,250,,,FALSE,
WARM_AIR_UNKNOWN,319,0,Electric other,warm_air,mains_gas,fanassistedbalancedflue,76,76,76,oil,electricity,FALSE,
COMMUNAL_DEDICATED_BOILER,401,1,Other,community_heating_without_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
COMMUNAL_WASTE_HEAT_FROM_POWER_STATION,402,1,Other,community_heating_without_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
COMMUNAL_UNKNOWN,403,1,Other,community_heating_without_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
CHP,404,1,Other,community_heating_with_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
COMMUNAL_OR_CHP_UNKNOWN,405,1,Other,community_heating_without_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
CHP_MICRO_DOMESTIC_WARM_AIR,406,1,Other,community_heating_with_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
CHP_MICRO_DOMESTIC_RADIATOR,407,1,Other,community_heating_with_chp,mains_gas,balancedflue,75,75,75,,,FALSE,
ELECTRIC_CEILING_HEATING,501,1,Electric other,room_heater,electricity,fanassistedbalancedflue,100,100,100,,,FALSE,
ELECTRIC_UNDERFLOOR_HEATING,502,1,Electric other,room_heater,electricity,fanassistedbalancedflue,100,100,100,,,FALSE,
ELECTRIC_UNKNOWN2,503,1,Electric other,room_heater,electricity,fanassistedbalancedflue,100,100,100,,,FALSE,
ROOM_HEATER_GAS_openflue,601,0,Gas,room_heater,mains_gas,openflue,63,63,63,,,FALSE,
ROOM_HEATER_GAS_balancedflue,602,0,Gas,room_heater,mains_gas,balancedflue,58,58,58,,,FALSE,
ROOM_HEATER_GAS_FAN_ASSISTED_FLUE,603,0,Gas,room_heater,mains_gas,fanassistedbalancedflue,72,72,72,,,FALSE,
ROOM_HEATER_GAS_CONDENSING,604,0,Gas,room_heater,mains_gas,balancedflue,85,85,85,,,FALSE,
ROOM_HEATER_GAS_LIVE_EFFECT_SEALED_TO_CHIMNEY,605,0,Gas,room_heater,mains_gas,balancedflue,40,40,40,,,FALSE,
ROOM_HEATER_GAS_LIVE_EFFECT_FAN_ASSISTED_FLUE,606,0,Gas,room_heater,mains_gas,fanassistedbalancedflue,45,45,45,,,FALSE,
ROOM_HEATER_GAS_DECORATIVE_FUEL_EFFECT_GAS_FIRE_OPEN_TO_CHIMNEY,607,0,Gas,room_heater,mains_gas,openflue,20,20,20,,,FALSE,
ROOM_HEATER_GAS_FLUELESS_GAS_FIRE,608,0,Gas,room_heater,mains_gas,balancedflue,90,90,90,,,FALSE,
ROOM_HEATER_GAS_UNKNOWN,609,0,Gas,room_heater,mains_gas,balancedflue,59,59,59,,,FALSE,
ROOM_HEATER_OIL_FIXED_HEATERS,610,0,OIL,room_heater,oil,openflue,55,55,55,,,FALSE,
ROOM_HEATER_ELECTRIC_PANEL_CONVECTOR_OR_RADIANT_HEATERS,611,0,Electric other,room_heater,electricity,fanassistedbalancedflue,100,100,100,,,FALSE,
ROOM_HEATER_ELECTRIC_UNKNOWN,614,0,Electric other,room_heater,electricity,fanassistedbalancedflue,100,100,100,,,FALSE,
ROOM_HEATER_SOLID_OPEN_FIRE_IN_GRATE,615,0,Solid fuel,room_heater,house_coal,openflue,37,37,37,,,FALSE,
ROOM_HEATER_SOLID_OPEN_FIRE_IN_GRATE_WITH_THROAT_RESTRICTOR,616,0,Solid fuel,room_heater,house_coal,openflue,37,37,37,,,FALSE,
ROOM_HEATER_SOLID_OPEN_FIRE_IN_GRATE_WITH_BACK_BOILER_NO_RADS,617,0,Solid fuel,back_boiler_no_central_heating,house_coal,openflue,50,50,50,,,FALSE,
ROOM_HEATER_SOLID_CLOSED_ROOM_HEATER_ONLY,618,0,Solid fuel,room_heater,house_coal,balancedflue,65,65,65,,,FALSE,
ROOM_HEATER_SOLID_CLOSED_ROOM_HEATER_BACK_BOILER_NO_RADS,619,0,Solid fuel,back_boiler_no_central_heating,house_coal,balancedflue,67,67,67,,,FALSE,
ROOM_HEATER_SOLID_UNKNOWN,620,0,Solid fuel,room_heater,house_coal,openflue,51,51,51,,,FALSE,
ROOM_HEATER_UNKNOWN,621,0,Other,room_heater,electricity,fanassistedbalancedflue,63,63,63,,,FALSE,
OPTICAL_READER_ERROR,7777,0,Other,standard,mains_gas,balancedflue,75,75,75,,,FALSE,
QUESTION_NOT_APPLICABLE_NO_PRIMARY_HEATING,8888,0,Other,standard,mains_gas,balancedflue,75,75,75,,,FALSE,
UNKNOWN2,9999,0,Other,standard,mains_gas,balancedflue,75,75,75,,,FALSE,
